[setup] SKIP_DEPLOY=1 — using already-deployed pc160 DUT
[14:50:06] div=13300 offered=4809 processed=4688 loss=2.52% bw=2400.0kbps (udp_out_d=15)
[14:50:22] div=6650 offered=9625 processed=9688 loss=-0.65% bw=4960.0kbps (udp_out_d=31)
[14:50:37] div=2660 offered=24051 processed=24062 loss=-0.05% bw=12320.0kbps (udp_out_d=77)
[14:50:53] div=1330 offered=48116 processed=48125 loss=-0.02% bw=24640.0kbps (udp_out_d=154)
[14:51:08] div=665 offered=96122 processed=95938 loss=0.19% bw=49120.0kbps (udp_out_d=307)
[14:51:15] div=500 offered=134080 processed=134062 loss=0.01% bw=68640.0kbps (udp_out_d=143)
[14:51:23] div=200 offered=333390 processed=332812 loss=0.17% bw=170400.0kbps (udp_out_d=355)
[14:51:30] div=100 offered=662322 processed=661875 loss=0.07% bw=338880.0kbps (udp_out_d=706)
[14:51:37] div=65 offered=1013444 processed=1013438 loss=0.00% bw=518880.0kbps (udp_out_d=1081)
[14:51:45] div=45 offered=1456882 processed=1456875 loss=0.00% bw=745920.0kbps (udp_out_d=1554)
[14:51:52] div=30 offered=2161814 processed=2161875 loss=-0.00% bw=1106880.0kbps (udp_out_d=2306)
[14:52:00] div=22 offered=2908570 processed=2908125 loss=0.02% bw=1488960.0kbps (udp_out_d=3102)
[14:52:07] div=15 offered=4188211 processed=4187812 loss=0.01% bw=2144160.0kbps (udp_out_d=4467)
[14:52:14] div=10 offered=6091231 processed=6090938 loss=0.00% bw=3118560.0kbps (udp_out_d=6497)
[14:52:21] div=6 offered=9566018 processed=9566250 loss=-0.00% bw=4897920.0kbps (udp_out_d=10204)
[14:52:29] div=3 offered=16754110 processed=12425625 loss=25.84% bw=6361920.0kbps (udp_out_d=13254)
[14:52:36] div=2 offered=22281232 processed=12392812 loss=44.38% bw=6345120.0kbps (udp_out_d=13219)
[done] generator quiesced (div=1000000000)
=== KNEE SWEEP DONE: /home/rdave009/minirocket-hls/MiniRocketHLS/saturation_harness/runs/tp_2026-07-09_f2f_knee/hydra_dropfull_u64_knee_MosquitoSound.csv ===
rate_divider  offered_pps  processed_pps  loss_pct  bandwidth_kbps  udp_out_delta  app_in_delta
13300         4809         4688           2.52      2400.0          15             57703
6650          9625         9688           -0.65     4960.0          31             115495
2660          24051        24062          -0.05     12320.0         77             288612
1330          48116        48125          -0.02     24640.0         154            577396
665           96122        95938          0.19      49120.0         307            1153468
500           134080       134062         0.01      68640.0         143            536319
200           333390       332812         0.17      170400.0        355            1333562
100           662322       661875         0.07      338880.0        706            2649287
65            1013444      1013438        0.00      518880.0        1081           4053775
45            1456882      1456875        0.00      745920.0        1554           5827530
30            2161814      2161875        -0.00     1106880.0       2306           8647258
22            2908570      2908125        0.02      1488960.0       3102           11634280
15            4188211      4187812        0.01      2144160.0       4467           16752843
10            6091231      6090938        0.00      3118560.0       6497           24364925
6             9566018      9566250        -0.00     4897920.0       10204          38264073
3             16754110     12425625       25.84     6361920.0       13254          67016442
2             22281232     12392812       44.38     6345120.0       13219          89124930
